schemeBy,schemeLocation,foundedBy,departmentName,Beneficiary,schemeObjective,schemeName,description,tags
Central,National,Ministry of Social Justice,Handicrafts Development Department,Individual,To preserve traditional crafts and improve livelihood of artisans,Handloom Weaver Crafts Promotion Program,This scheme aims to To preserve traditional crafts and improve livelihood of artisans for weaver by implementing the crafts promotion program. It provides support and benefits to eligible beneficiaries in line with the goal of To preserve traditional crafts and improve livelihood of artisans.,"Weaver, Artisan, Subsidy, Poor"
Central,National,Ministry of Agriculture,Industry and Commerce Department,Individual,To offer skill training and credit facilities to artisans,Handicraft Carpenter Carpenter Training Initiative,This scheme aims to To offer skill training and credit facilities to artisans for carpenter by implementing the carpenter training initiative. It provides support and benefits to eligible beneficiaries in line with the goal of To offer skill training and credit facilities to artisans.,"Carpenter, Artisan, Training"
State,Maharashtra,State Government of Maharashtra,Industry and Commerce Department,Individual,To offer skill training and credit facilities to artisans,Village Industry Handicraft Artisan Crafts Promotion Program,This scheme aims to To offer skill training and credit facilities to artisans for handicraft artisan by implementing the crafts promotion program. It provides support and benefits to eligible beneficiaries in line with the goal of To offer skill training and credit facilities to artisans.,"Handicraft, Artisan, Support"
Central,National,Ministry of Health and Family Welfare,Handicrafts Development Department,Individual,To preserve traditional crafts and improve livelihood of artisans,Khadi Weaver Potter Assistance Scheme,This scheme aims to To preserve traditional crafts and improve livelihood of artisans for weaver by implementing the potter assistance scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To preserve traditional crafts and improve livelihood of artisans.,"Weaver, Artisan, Subsidy"
State,Maharashtra,State Government of Maharashtra,Industry and Commerce Department,Individual,To preserve traditional crafts and improve livelihood of artisans,Handloom Potter Artisan Credit Support,This scheme aims to To preserve traditional crafts and improve livelihood of artisans for potter by implementing the artisan credit support. It provides support and benefits to eligible beneficiaries in line with the goal of To preserve traditional crafts and improve livelihood of artisans.,"Potter, Artisan, Support, Rural"
State,Karnataka,State Government of Karnataka,Industry and Commerce Department,Individual,To provide financial assistance and marketing support to artisans,Village Industry Potter Weaver Welfare Scheme,This scheme aims to To provide financial assistance and marketing support to artisans for potter by implementing the weaver welfare scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To provide financial assistance and marketing support to artisans.,"Potter, Artisan, Support, Poor"
District,"Bengaluru Urban, Karnataka",District Council,Handicrafts Development Department,Individual,To preserve traditional crafts and improve livelihood of artisans,Khadi Potter Potter Assistance Scheme (2),This scheme aims to To preserve traditional crafts and improve livelihood of artisans for potter by implementing the potter assistance scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To preserve traditional crafts and improve livelihood of artisans.,"Potter, Artisan, Support"
Municipal,"Ahmedabad, Gujarat",Municipal Corporation,Industry and Commerce Department,Individual,To preserve traditional crafts and improve livelihood of artisans,Handloom Women Artisan Carpenter Training Initiative (2),This scheme aims to To preserve traditional crafts and improve livelihood of artisans for women artisan by implementing the carpenter training initiative. It provides support and benefits to eligible beneficiaries in line with the goal of To preserve traditional crafts and improve livelihood of artisans.,"Women, Artisan, Support"
State,Gujarat,State Government of Gujarat,Handicrafts Development Department,Individual,To provide financial assistance and marketing support to artisans,Village Industry Weaver Artisan Credit Support,This scheme aims to To provide financial assistance and marketing support to artisans for weaver by implementing the artisan credit support. It provides support and benefits to eligible beneficiaries in line with the goal of To provide financial assistance and marketing support to artisans.,"Weaver, Artisan, Subsidy, Urban"
Central,National,Central Government of India,Handicrafts Development Department,Individual,To provide financial assistance and marketing support to artisans,Khadi Handicraft Artisan Potter Assistance Scheme,This scheme aims to To provide financial assistance and marketing support to artisans for handicraft artisan by implementing the potter assistance scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To provide financial assistance and marketing support to artisans.,"Handicraft, Artisan, Support"
Central,National,Ministry of Health and Family Welfare,Industry and Commerce Department,Individual,To provide financial assistance and marketing support to artisans,Handloom Women Artisan Weaver Welfare Scheme,This scheme aims to To provide financial assistance and marketing support to artisans for women artisan by implementing the weaver welfare scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To provide financial assistance and marketing support to artisans.,"Women, Artisan, Support"
